the,23168
to,11420
of,10777
in,10174
and,8347
a,8209
on,4626
s,4605
for,4116
said,3997
percent,3271
that,3076
at,2868
as,2657
is,2604
by,2511
from,2479
with,2234
it,2053
oil,1972
was,1941
year,1852
has,1817
its,1816
will,1681
be,1530
pakistan,1504
,1425
are,1405
prices,1381
an,1353
us,1293
this,1291
have,1249
he,1231
million,1218
after,1215
which,1181
market,1136
up,1132
billion,1115
also,1107
more,1038
crude,1033
last,1018
new,977
would,969
were,957
but,954
bank,887
china,863
global,828
been,828
week,827
than,825
government,818
had,802
their,799
while,794
world,760
minister,746
dollar,740
not,732
rs,722
markets,720
u,703
over,702
month,698
growth,693
down,689
enomic,678
since,670
untry,666
we,659
trade,654
per,646
about,626
enomy,620
two,593
or,593
monday,555
uld,550
production,546
opec,541
day,539
energy,537
first,537
all,535
friday,530
they,527
data,526
other,514
barrel,509
one,508
years,497
demand,494
high,488
against,488
added,479
rate,478
rose,471
investors,465
some,465
during,462
yen,460
tax,450
fell,449
tuesday,447
output,446
thursday,443
untries,442
wednesday,442
international,432
cents,432
there,430
investment,425
gold,424
price,422
expected,411
time,406
index,406
power,394
into,392
interest,391
meeting,391
iran,388
islamabad,386
acrding,382
low,381
sector,375
out,371
june,369
saudi,367
three,365
may,365
policy,363
between,361
further,361
increase,360
next,360
financial,359
told,357
trading,355
chinese,355
supply,354
brent,350
under,350
higher,349
asia,348
around,347
exports,344
foreign,344
federal,337
united,337
barrels,336
cut,335
months,334
india,332
news,332
rates,331
report,326
mpanies,323
business,321
when,321
futures,314
points,313
finance,313
exchange,308
off,308
stocks,308
deal,308
karachi,306
major,304
mpany,303
state,303
benchmark,302
including,302
lower,300
states,300
if,299
analysts,298
central,295
who,294
now,291
early,289
mpared,288
shares,288
strong,286
being,283
asian,281
due,281
br,280
people,278
strongthe,278
fed,274
petroleum,274
stock,274
fund,269
still,269
his,269
tokyo,266
such,266
york,266
most,266
january,266
earlier,266
development,264
president,263
european,259
group,257
japan,256
so,254
london,254
euro,251
long,251
level,251
well,250
biggest,249
no,249
chief,248
before,248
send,248
rerd,247
top,247
gas,247
any,247
can,246
support,245
july,245
arabia,245
likely,245
rise,243
hit,242
singapore,237
industry,237
traders,236
end,236
products,236
back,235
gains,234
through,233
close,233
our,231
fiscal,230
december,229
april,228
only,225
based,225
period,223
trump,223
march,222
imf,220
bpd,220
west,219
largest,218
made,216
current,216
sales,215
monetary,215
capital,215
national,215
much,214
despite,212
just,210
recent,210
set,210
official,208
however,208
increased,206
texas,206
prime,204
levels,204
banks,203
announced,201
intermediate,199
i,199
showed,199
many,199
producers,198
previous,198
statement,196
analyst,196
number,196
currency,195
project,194
